Deck Name,Decklist,Event
David Rodriguez-Demise OTK,"Main Deck — Monsters:
3x Demise, King of Armageddon
3x Doom Dozer
2x Great Maju Garzett
2x Insect Knight
3x Manju of the Ten Thousand Hands
1x Marshmallon
3x Metal Armored Bug
2x Senju of the Thousand Hands
1x Sonic Bird

Main Deck — Spells:
3x Advanced Ritual Art
1x Giant Trunade
1x Heavy Storm
1x Megamorph
1x Mystical Space Typhoon
1x Premature Burial
2x Swing of Memories
1x Swords of Revealing Light
3x Trade-In

Main Deck — Traps:
1x Gravity Bind
1x Magic Cylinder
1x Mirror Force
3x Threatening Roar
1x Torrential Tribute",SJC San Mateo 2007
David Huertas-Zombie,"Main Deck — Monsters:
1x Breaker the Magical Warrior
1x Card Trooper
2x Cyber Dragon
1x D.D. Crow
2x Giant Rat
1x Il Blud
1x Morphing Jar
1x Neo-Spacian Grand Mole
3x Pyramid Turtle
2x Ryu Kokki
1x Sangan
1x Snipe Hunter
1x Spirit Reaper
3x Zombie Master

Main Deck — Spells:
3x Book of Life
1x Brain Control
3x Card of Safe Return
2x Creature Swap
1x Heavy Storm
1x Lightning Vortex
1x Mystical Space Typhoon
1x Nobleman of Crossout
1x Premature Burial

Main Deck — Traps:
1x Call of the Haunted
3x Dust Tornado
1x Mirror Force
1x Torrential Tribute",SJC San Mateo 2007
Eric Wu-Drain Burn,"Main Deck — Monsters:
1x Breaker the Magical Warrior
1x Card Trooper
1x Dark Mimic LV3
1x Gravekeeper's Guard
3x Gravekeeper's Spy
1x Morphing Jar
1x Mystic Tomato
1x Sangan

Main Deck — Spells:
1x Hammer Shot
1x Level Limit - Area B
1x Mystical Space Typhoon
1x Scapegoat
1x Smashing Ground
1x Swords of Revealing Light
3x Wave-Motion Cannon

Main Deck — Traps:
1x Ceasefire
1x Crush Card Virus
3x Dark Bribe
3x Dimension Wall
2x Dust Tornado
1x Gravity Bind
1x Magic Cylinder
1x Mirror Force
3x Skill Drain
3x Solemn Judgment
1x Torrential Tribute
1x Trap Dustshoot",SJC San Mateo 2007
Fili Luna-Perfect Circle Monarch,"Main Deck — Monsters:
1x Asura Priest
1x Breaker the Magical Warrior
2x D.D. Crow
1x Destiny HERO - Disk Commander
2x Destiny HERO - Fear Monger
2x Destiny HERO - Malicious
1x Elemental HERO Stratos
2x Light and Darkness Dragon
1x Magician of Faith
1x Marshmallon
1x Mask of Darkness
1x Morphing Jar
3x Raiza the Storm Monarch
1x Sangan
1x Snipe Hunter
1x Spirit Reaper
1x Treeborn Frog

Main Deck — Spells:
1x Brain Control
3x Destiny Draw
2x Foolish Burial
1x Heavy Storm
1x Mystical Space Typhoon
1x Pot of Avarice
1x Premature Burial
2x Reinforcement of the Army
1x Scapegoat

Main Deck — Traps:
1x Call of the Haunted
1x Crush Card Virus
1x Mirror Force
2x Phoenix Wing Wind Blast
1x Return from the Different Dimension
1x The Transmigration Prophecy
1x Torrential Tribute
1x Trap Dustshoot",SJC San Mateo 2007
Hugo Adame-Macro Monarch,"Main Deck — Monsters:
2x Banisher of the Radiance
1x Breaker the Magical Warrior
3x Cyber Dragon
2x D.D. Scout Plane
3x D.D. Survivor
1x D.D. Warrior Lady
1x Exiled Force
3x Raiza the Storm Monarch

Main Deck — Spells:
1x Brain Control
3x Dimensional Fissure
2x Enemy Controller
1x Gold Sarcophagus
1x Mystical Space Typhoon
1x Scapegoat
1x Smashing Ground
1x Swords of Revealing Light

Main Deck — Traps:
3x Dark Bribe
2x Macro Cosmos
1x Mirror Force
2x Pulling the Rug
3x Solemn Judgment
1x Torrential Tribute
1x Trap Dustshoot",SJC San Mateo 2007
Jerry Wang-Perfect Circle Monarch,"Main Deck — Monsters:
1x Breaker the Magical Warrior
1x Cyber Dragon
1x D.D. Crow
1x Destiny HERO - Disk Commander
2x Destiny HERO - Fear Monger
2x Destiny HERO - Malicious
1x Destiny HERO - Plasma
1x Elemental HERO Stratos
2x Light and Darkness Dragon
1x Marshmallon
3x Raiza the Storm Monarch
1x Sangan
1x Snipe Hunter
1x Spell Striker
1x Spirit Reaper
1x Treeborn Frog

Main Deck — Spells:
1x Brain Control
3x Destiny Draw
1x Enemy Controller
1x Foolish Burial
1x Heavy Storm
1x Mystical Space Typhoon
1x Pot of Avarice
1x Premature Burial
2x Reinforcement of the Army
1x Scapegoat
1x Soul Exchange

Main Deck — Traps:
1x Call of the Haunted
1x Crush Card Virus
1x Mirror Force
2x Phoenix Wing Wind Blast
1x Torrential Tribute",SJC San Mateo 2007
Josh Cohen-Monarch,"Main Deck — Monsters:
1x Breaker the Magical Warrior
1x Card Trooper
2x Cyber Dragon
1x D.D. Crow
2x Gravekeeper's Spy
1x Marshmallon
2x Mobius the Frost Monarch
2x Mystic Tomato
3x Raiza the Storm Monarch
1x Sangan
1x Snipe Hunter
1x Spirit Reaper
3x Thestalos the Firestorm Monarch
1x Treeborn Frog
1x Zaborg the Thunder Monarch

Main Deck — Spells:
1x Brain Control
1x Foolish Burial
1x Gold Sarcophagus
1x Heavy Storm
1x Mystical Space Typhoon
1x Pot of Avarice
1x Premature Burial
1x Scapegoat
3x Soul Exchange

Main Deck — Traps:
1x Bottomless Trap Hole
1x Call of the Haunted
1x Mirror Force
1x Torrential Tribute
2x Widespread Ruin",SJC San Mateo 2007
John Umali-Macro Monarch,"Main Deck — Monsters:
1x Breaker the Magical Warrior
2x Cyber Dragon
1x D.D. Scout Plane
3x D.D. Survivor
1x Gravekeeper's Guard
3x Gravekeeper's Spy
1x Marshmallon
1x Morphing Jar
3x Raiza the Storm Monarch
1x Snipe Hunter
1x Spirit Reaper
3x Thestalos the Firestorm Monarch

Main Deck — Spells:
1x Brain Control
3x Dimensional Fissure
2x Enemy Controller
1x Heavy Storm
1x Lightning Vortex
1x Mystical Space Typhoon
2x Reinforcement of the Army

Main Deck — Traps:
3x Macro Cosmos
1x Mirror Force
3x Solemn Judgment
1x Torrential Tribute",SJC San Mateo 2007
Justin Trias-Baboon Burn,"Main Deck — Monsters:
1x Breaker the Magical Warrior
2x Cyber Dragon
3x Giant Rat
1x Green Baboon, Defender of the Forest
2x Gyaku-Gire Panda
1x Marshmallon
1x Morphing Jar
1x Neo-Spacian Grand Mole
3x Nimble Momonga
3x Raiza the Storm Monarch
1x Sangan
1x Treeborn Frog

Main Deck — Spells:
2x Foolish Burial
1x Giant Trunade
1x Heavy Storm
1x Level Limit - Area B
1x Messenger of Peace
1x Mystical Space Typhoon
1x Premature Burial

Main Deck — Traps:
1x Ceasefire
1x Gravity Bind
3x Just Desserts
1x Magic Cylinder
3x Ojama Trio
3x Secret Barrel

Extra Deck — Fusions:
2x Chimeratech Overdragon
2x Cyber End Dragon
2x Cyber Twin Dragon",SJC San Mateo 2007
Ryan Connolly-Perfect Circle Monarch,"Main Deck — Monsters:
1x Breaker the Magical Warrior
1x Card Trooper
2x D.D. Crow
1x Dark Magician of Chaos
1x Destiny HERO - Disk Commander
1x Destiny HERO - Fear Monger
2x Destiny HERO - Malicious
1x Elemental HERO Stratos
2x Light and Darkness Dragon
1x Marshmallon
1x Morphing Jar
3x Raiza the Storm Monarch
1x Sangan
1x Snipe Hunter
1x Spirit Reaper
1x Treeborn Frog

Main Deck — Spells:
1x Brain Control
2x Destiny Draw
1x Enemy Controller
2x Foolish Burial
1x Heavy Storm
1x Pot of Avarice
1x Premature Burial
2x Reinforcement of the Army
1x Scapegoat
2x Soul Exchange

Main Deck — Traps:
1x Call of the Haunted
1x Crush Card Virus
1x Mirror Force
3x Phoenix Wing Wind Blast
1x Torrential Tribute",SJC San Mateo 2007
Rajvir Singh-Macro Monarch,"Main Deck — Monsters:
1x Breaker the Magical Warrior
3x Cyber Dragon
2x D.D. Assailant
3x D.D. Survivor
2x Exiled Force
1x Morphing Jar
3x Raiza the Storm Monarch
1x Spirit Reaper

Main Deck — Spells:
1x Book of Moon
1x Brain Control
3x Dimensional Fissure
1x Mystical Space Typhoon
2x Reinforcement of the Army
1x Smashing Ground

Main Deck — Traps:
2x Bottomless Trap Hole
2x Dark Bribe
3x Macro Cosmos
1x Mirror Force
2x Pulling the Rug
3x Solemn Judgment
1x Torrential Tribute
1x Trap Dustshoot",SJC San Mateo 2007
Trent Kittle-Perfect Circle Monarch,"Main Deck — Monsters:
1x Breaker the Magical Warrior
1x Card Trooper
2x Cyber Dragon
1x Dark Magician of Chaos
2x Destiny HERO - Dasher
1x Destiny HERO - Disk Commander
2x Destiny HERO - Malicious
1x Dragon Ice
1x Elemental HERO Stratos
1x Exiled Force
2x Jinzo
1x Light and Darkness Dragon
2x Raiza the Storm Monarch
1x Sangan
1x Snipe Hunter
1x Treeborn Frog

Main Deck — Spells:
1x Back to Square One
1x Brain Control
3x Destiny Draw
2x Foolish Burial
1x Heavy Storm
1x Lightning Vortex
1x Pot of Avarice
1x Premature Burial
2x Reinforcement of the Army

Main Deck — Traps:
1x Call of the Haunted
1x Mirror Force
3x Phoenix Wing Wind Blast
1x Torrential Tribute",SJC San Mateo 2007
Andrew Fredella-Monarch,"Main Deck — Monsters:
1x Breaker the Magical Warrior
3x Cyber Dragon
1x D.D. Warrior Lady
2x Gravekeeper's Spy
3x Hydrogeddon
1x Magician of Faith
2x Mobius the Frost Monarch
1x Sangan
1x Spirit Reaper
3x Thestalos the Firestorm Monarch
1x Treeborn Frog
1x Twin-Headed Behemoth
2x Zaborg the Thunder Monarch

Main Deck — Spells:
1x Brain Control
1x Confiscation
1x Enemy Controller
1x Graceful Charity
1x Heavy Storm
1x Mystical Space Typhoon
1x Nobleman of Crossout
1x Pot of Avarice
1x Premature Burial
1x Scapegoat
1x Smashing Ground
2x Soul Exchange

Main Deck — Traps:
1x Bottomless Trap Hole
1x Ring of Destruction
2x Sakuretsu Armor
1x Torrential Tribute

Extra Deck — Fusions:
2x Blue-Eyes Ultimate Dragon
2x Chimeratech Overdragon
1x Cyber End Dragon
3x Cyber Twin Dragon
2x Dark Balter the Terrible
1x Dark Blade the Dragon Knight
1x Dark Flare Knight
1x Darkfire Dragon
1x Dragoness the Wicked Knight
1x Fiend Skull Dragon",SJC St. Louis 2007
Carlo Perez-Diamond Dude Turbo,"Main Deck — Monsters:
1x Dark Magician of Chaos
1x Destiny HERO - Dasher
3x Destiny HERO - Diamond Dude
3x Destiny HERO - Malicious
3x Elemental HERO Stratos
1x Exiled Force
1x Jinzo

Main Deck — Spells:
1x Card Destruction
3x Destiny Draw
3x Dimension Fusion
3x Divine Sword - Phoenix Blade
2x E - Emergency Call
1x Graceful Charity
1x Heavy Storm
3x Lightning Vortex
1x Magical Stone Excavation
3x Monster Gate
1x Premature Burial
3x Reasoning
2x Reinforcement of the Army",SJC St. Louis 2007
Chris Bowling-Dimension Fusion Turbo,"Main Deck — Monsters:
3x Bazoo the Soul-Eater
1x Breaker the Magical Warrior
3x Card Trooper
3x Cyber Dragon
3x Cyber Phoenix
1x Dark Magician of Chaos
3x Elemental HERO Stratos
1x Jinzo
1x Magician of Faith
3x Snipe Hunter

Main Deck — Spells:
3x Dimension Fusion
1x Future Fusion
1x Giant Trunade
1x Graceful Charity
1x Heavy Storm
1x Limiter Removal
2x Overload Fusion
1x Premature Burial
1x Scapegoat
1x Swords of Revealing Light

Main Deck — Traps:
1x Call of the Haunted
1x Mirror Force
2x Sakuretsu Armor
1x Torrential Tribute

Extra Deck — Fusions:
3x Chimeratech Overdragon
1x Cyber End Dragon
1x Cyber Twin Dragon
1x Dark Balter the Terrible
1x Dark Blade the Dragon Knight
1x Dark Flare Knight
1x Darkfire Dragon
1x Dragoness the Wicked Knight
1x Fiend Skull Dragon
1x Gatling Dragon
1x King Dragun
1x Reaper on the Nightmare
1x Ryu Senshi",SJC St. Louis 2007
Jeff Baumgartner-Bazoo Return,"Main Deck — Monsters:
1x Ancient Gear Engineer
3x Bazoo the Soul-Eater
1x Breaker the Magical Warrior
3x Card Trooper
3x Cyber Dragon
1x D.D. Warrior Lady
1x Exiled Force
3x Giant Rat
1x Injection Fairy Lily
1x Jinzo
1x Magician of Faith
1x Sangan
1x Spirit Reaper

Main Deck — Spells:
1x Graceful Charity
1x Heavy Storm
1x Last Will
2x Machine Duplication
1x Mystical Space Typhoon
1x Nobleman of Crossout
1x Premature Burial
2x Smashing Ground

Main Deck — Traps:
1x Bottomless Trap Hole
1x Call of the Haunted
1x Mirror Force
2x Return from the Different Dimension
1x Ring of Destruction
1x Torrential Tribute
3x Widespread Ruin

Extra Deck — Fusions:
1x Blue-Eyes Ultimate Dragon
1x Charubin the Fire Knight
1x Cyber End Dragon
1x Cyber Twin Dragon
2x Dark Balter the Terrible
2x Dark Blade the Dragon Knight
1x Dark Flare Knight
2x Dragoness the Wicked Knight
3x Empress Judge
1x Fiend Skull Dragon",SJC St. Louis 2007
Jeff Jones-Warrior,"Main Deck — Monsters:
1x Breaker the Magical Warrior
3x Cyber Dragon
2x Don Zaloog
3x Elemental HERO Stratos
1x Elemental HERO Wildheart
2x Exiled Force
3x Hydrogeddon
1x Magician of Faith
1x Spirit Reaper

Main Deck — Spells:
1x Graceful Charity
1x Heavy Storm
1x Mystical Space Typhoon
1x Nobleman of Crossout
1x Pot of Avarice
1x Premature Burial
2x Reinforcement of the Army
3x Smashing Ground

Main Deck — Traps:
3x Bottomless Trap Hole
1x Call of the Haunted
1x Mirror Force
3x Sakuretsu Armor
3x Solemn Judgment
1x Torrential Tribute",SJC St. Louis 2007
Marc Glass-Diamond Dude Turbo,"Main Deck — Monsters:
1x Dark Magician of Chaos
2x Destiny HERO - Dasher
3x Destiny HERO - Diamond Dude
3x Destiny HERO - Malicious
3x Elemental HERO Stratos
1x Jinzo

Main Deck — Spells:
3x Destiny Draw
3x Dimension Fusion
3x Divine Sword - Phoenix Blade
1x Graceful Charity
1x Heavy Storm
3x Lightning Vortex
2x Magical Stone Excavation
3x Monster Gate
1x Premature Burial
1x Reasoning
2x Reinforcement of the Army

Main Deck — Traps:
1x Mirror Force
3x Waboku",SJC St. Louis 2007
Miguel Albarran-Diamond Dude Turbo,"Main Deck — Monsters:
1x Dark Magician of Chaos
1x Destiny HERO - Dasher
2x Destiny HERO - Diamond Dude
3x Destiny HERO - Malicious
3x Elemental HERO Stratos
1x Exiled Force
1x Jinzo

Main Deck — Spells:
3x Destiny Draw
3x Dimension Fusion
3x Divine Sword - Phoenix Blade
2x E - Emergency Call
1x Graceful Charity
1x Heavy Storm
3x Lightning Vortex
1x Magical Stone Excavation
3x Monster Gate
1x Premature Burial
3x Reasoning
2x Reinforcement of the Army

Main Deck — Traps:
1x Mirror Force
1x Ring of Destruction",SJC St. Louis 2007
Alex Thorne-Anti-Meta Stun,"Main Deck — Monsters:
1x Card Trooper
3x Cyber Dragon
3x Cyber Phoenix
1x D.D. Crow
1x Don Zaloog
3x Hydrogeddon
2x Kycoo the Ghost Destroyer
1x Magician of Faith
1x Sangan
1x Spirit Reaper

Main Deck — Spells:
1x Book of Moon
1x Fissure
1x Heavy Storm
1x Mystical Space Typhoon
2x Nobleman of Crossout
1x Pot of Avarice
1x Premature Burial
1x Rush Recklessly
3x Shrink
1x Smashing Ground

Main Deck — Traps:
1x Call of the Haunted
3x Mask of Restrict
1x Mirror Force
2x Pulling the Rug
1x Torrential Tribute
1x Trap Dustshoot
1x Trap Hole","SJC Washington, D.C. 2007"
Tommy Nguyen-Macro Monarch,"Main Deck — Monsters:
1x Breaker the Magical Warrior
3x Cyber Dragon
3x D.D. Survivor
2x Dekoichi the Battlechanted Locomotive
1x Elemental HERO Wildheart
2x Exiled Force
3x Gravekeeper's Spy
1x Spirit Reaper
2x Thestalos the Firestorm Monarch
3x Zaborg the Thunder Monarch

Main Deck — Spells:
1x Book of Moon
1x Brain Control
1x Confiscation
3x Dimensional Fissure
2x Enemy Controller
1x Graceful Charity
1x Mystical Space Typhoon
1x Nobleman of Crossout
2x Reinforcement of the Army

Main Deck — Traps:
1x Macro Cosmos
1x Mirror Force
1x Ring of Destruction
2x Sakuretsu Armor
1x Torrential Tribute

Extra Deck — Fusions:
3x Cyber End Dragon",SJC St. Louis 2007
Bounty-Perfect Circle Monarch,"Main Deck — Monsters:
1x Breaker the Magical Warrior
1x Card Trooper
2x Cyber Dragon
1x Destiny HERO - Disk Commander
1x Destiny HERO - Fear Monger
2x Destiny HERO - Malicious
1x Elemental HERO Stratos
2x Mystic Tomato
3x Raiza the Storm Monarch
1x Sangan
1x Snipe Hunter
1x Spirit Reaper
1x Treeborn Frog
2x Zaborg the Thunder Monarch

Main Deck — Spells:
1x Brain Control
2x Destiny Draw
1x Heavy Storm
2x Lightning Vortex
1x Mystical Space Typhoon
2x Pot of Avarice
1x Premature Burial
1x Reinforcement of the Army
1x Scapegoat

Main Deck — Traps:
1x Call of the Haunted
1x Crush Card Virus
1x Mirror Force
3x Phoenix Wing Wind Blast
1x The Transmigration Prophecy
1x Torrential Tribute","SJC Washington, D.C. 2007"
Cedric Sequerra-Zombie,"Main Deck — Monsters:
1x Breaker the Magical Warrior
1x Card Trooper
2x Cyber Dragon
1x Giant Rat
2x Il Blud
1x Morphing Jar
3x Pyramid Turtle
2x Ryu Kokki
1x Sangan
1x Snipe Hunter
1x Spirit Reaper
3x Zombie Master

Main Deck — Spells:
3x Book of Life
1x Brain Control
3x Card of Safe Return
2x Creature Swap
1x Heavy Storm
1x Mystical Space Typhoon
2x Nobleman of Crossout
1x Premature Burial
1x Smashing Ground

Main Deck — Traps:
1x Call of the Haunted
2x Dust Tornado
1x Mirror Force
1x Sakuretsu Armor
1x Torrential Tribute","SJC Washington, D.C. 2007"
Dale-Zombie,"Main Deck — Monsters:
1x Breaker the Magical Warrior
1x Card Trooper
3x Cyber Dragon
2x Giant Rat
1x Il Blud
1x Morphing Jar
3x Pyramid Turtle
2x Ryu Kokki
1x Sangan
1x Snipe Hunter
1x Spirit Reaper
3x Zombie Master

Main Deck — Spells:
3x Book of Life
1x Brain Control
3x Card of Safe Return
2x Creature Swap
1x Heavy Storm
1x Lightning Vortex
1x Mystical Space Typhoon
2x Nobleman of Crossout
1x Premature Burial

Main Deck — Traps:
1x Call of the Haunted
2x Dust Tornado
1x Mirror Force
1x Torrential Tribute
1x Widespread Ruin","SJC Washington, D.C. 2007"
Eric Wu-Drain Burn,"Main Deck — Monsters:
1x Breaker the Magical Warrior
1x Card Trooper
3x Dark Mimic LV3
1x Morphing Jar
3x Mystic Tomato
1x Sangan

Main Deck — Spells:
1x Different Dimension Capsule
2x Hammer Shot
1x Level Limit - Area B
1x Messenger of Peace
1x Mystical Space Typhoon
1x Scapegoat
1x Smashing Ground
1x Swords of Revealing Light
3x Wave-Motion Cannon

Main Deck — Traps:
1x Ceasefire
1x Crush Card Virus
3x Dimension Wall
1x Gravity Bind
1x Judgment of Anubis
1x Magic Cylinder
1x Mirror Force
3x Skill Drain
3x Solemn Judgment
1x Torrential Tribute
1x Trap Dustshoot
1x Wall of Revealing Light","SJC Washington, D.C. 2007"
Hugo Adame-Drain Burn,"Main Deck — Monsters:
1x Breaker the Magical Warrior
1x Card Trooper
3x Dark Mimic LV3
1x Morphing Jar
3x Mystic Tomato
1x Sangan

Main Deck — Spells:
1x Gold Sarcophagus
2x Hammer Shot
1x Level Limit - Area B
1x Messenger of Peace
1x Mystical Space Typhoon
1x Scapegoat
1x Smashing Ground
1x Swords of Revealing Light
3x Wave-Motion Cannon

Main Deck — Traps:
1x Ceasefire
1x Crush Card Virus
3x Dimension Wall
1x Gravity Bind
1x Judgment of Anubis
1x Magic Cylinder
1x Mirror Force
3x Skill Drain
3x Solemn Judgment
1x Torrential Tribute
1x Trap Dustshoot
1x Wall of Revealing Light","SJC Washington, D.C. 2007"
Fili Luna-Zombie,"Main Deck — Monsters:
1x Breaker the Magical Warrior
1x Card Trooper
2x Cyber Dragon
1x Giant Rat
2x Il Blud
1x Magician of Faith
1x Morphing Jar
3x Pyramid Turtle
1x Ryu Kokki
1x Sangan
1x Spirit Reaper
2x Zombie Master

Main Deck — Spells:
3x Book of Life
3x Card of Safe Return
2x Creature Swap
1x Heavy Storm
1x Lightning Vortex
1x Mystical Space Typhoon
2x Nobleman of Crossout
1x Pot of Avarice
1x Premature Burial
1x Smashing Ground

Main Deck — Traps:
1x Call of the Haunted
1x Crush Card Virus
1x Deck Devastation Virus
2x Dust Tornado
1x Mirror Force
1x Torrential Tribute","SJC Washington, D.C. 2007"
Jerome Baisey-Tomato Control,"Main Deck — Monsters:
1x Asura Priest
1x Breaker the Magical Warrior
3x Cyber Dragon
2x D.D. Assailant
1x D.D. Warrior Lady
2x Don Zaloog
2x Exiled Force
3x Mystic Tomato
1x Neo-Spacian Grand Mole
1x Sangan
1x Spirit Reaper

Main Deck — Spells:
2x Creature Swap
1x Fissure
1x Heavy Storm
1x Mystical Space Typhoon
2x Nobleman of Crossout
1x Pot of Avarice
1x Premature Burial
2x Reinforcement of the Army
1x Scapegoat
1x Shrink
1x Smashing Ground

Main Deck — Traps:
1x Bottomless Trap Hole
1x Call of the Haunted
2x Dust Tornado
1x Mirror Force
2x Sakuretsu Armor
1x Torrential Tribute","SJC Washington, D.C. 2007"
Kadeem Smith-Demise OTK,"Main Deck — Monsters:
3x Demise, King of Armageddon
3x Doom Dozer
2x Insect Knight
1x Magician of Faith
3x Manju of the Ten Thousand Hands
1x Metal Armored Bug
3x Neo Bug
1x Sangan
2x Senju of the Thousand Hands
2x Sonic Bird

Main Deck — Spells:
3x Advanced Ritual Art
1x Dimension Fusion
1x Heavy Storm
1x Megamorph
1x Mystical Space Typhoon
1x Pot of Avarice
1x Premature Burial

Main Deck — Traps:
2x Common Charity
1x Gravity Bind
1x Magic Cylinder
1x Mirror Force
3x Threatening Roar
1x Torrential Tribute
1x Waboku","SJC Washington, D.C. 2007"
Kristopher Perovic-Diamond Dude Turbo,"Main Deck — Monsters:
1x Dark Magician of Chaos
1x Destiny HERO - Dasher
2x Destiny HERO - Diamond Dude
2x Destiny HERO - Malicious
1x Elemental HERO Stratos
1x Exiled Force

Main Deck — Spells:
1x Card Destruction
3x Destiny Draw
1x Dimension Fusion
3x Divine Sword - Phoenix Blade
1x Gold Sarcophagus
1x Heavy Storm
3x Lightning Vortex
1x Magical Stone Excavation
3x Monster Gate
1x Premature Burial
3x Reasoning
2x Reinforcement of the Army
1x Swords of Revealing Light

Main Deck — Traps:
1x Call of the Haunted
1x Mirror Force
3x Return from the Different Dimension
3x Threatening Roar","SJC Washington, D.C. 2007"
Kam Ngai Ip-Machine Beat,"Main Deck — Monsters:
1x Barrel Dragon
1x Blowback Dragon
1x Breaker the Magical Warrior
1x Card Trooper
3x Cyber Dragon
3x Cyber Phoenix
1x Drillroid
1x Jinzo
1x Magician of Faith
1x Morphing Jar
1x Sangan
1x Snipe Hunter
1x The Light - Hex-Sealed Fusion
1x Treeborn Frog

Main Deck — Spells:
1x Brain Control
1x Enemy Controller
1x Fissure
1x Future Fusion
1x Giant Trunade
1x Heavy Storm
1x Limiter Removal
1x Megamorph
1x Mystical Space Typhoon
2x Nobleman of Crossout
1x Overload Fusion
1x Pot of Avarice
1x Power Bond
1x Premature Burial
1x Smashing Ground

Main Deck — Traps:
1x Bottomless Trap Hole
1x Call of the Haunted
1x Mirror Force
1x Torrential Tribute
1x Trap Dustshoot
1x Widespread Ruin","SJC Washington, D.C. 2007"
Manuel Perez-Apprentice Monarch,"Main Deck — Monsters:
2x Apprentice Magician
1x Breaker the Magical Warrior
2x Crystal Seer
2x Cyber Dragon
3x Hydrogeddon
1x Magician of Faith
2x Mystic Tomato
1x Old Vindictive Magician
3x Raiza the Storm Monarch
1x Sangan
1x Snipe Hunter
1x Spirit Reaper
3x Thestalos the Firestorm Monarch
1x Treeborn Frog

Main Deck — Spells:
1x Book of Moon
1x Brain Control
1x Enemy Controller
1x Heavy Storm
1x Mystical Space Typhoon
2x Pot of Avarice
1x Scapegoat
2x Soul Exchange

Main Deck — Traps:
2x Bottomless Trap Hole
1x Call of the Haunted
1x Mirror Force
2x Sakuretsu Armor
1x Torrential Tribute","SJC Washington, D.C. 2007"
Matt Peddle-Zombie,"Main Deck — Monsters:
1x Breaker the Magical Warrior
1x Card Trooper
2x Cyber Dragon
2x Giant Rat
2x Il Blud
3x Pyramid Turtle
2x Ryu Kokki
1x Sangan
1x Snipe Hunter
1x Spirit Reaper
3x Zombie Master

Main Deck — Spells:
3x Book of Life
1x Brain Control
3x Card of Safe Return
2x Creature Swap
1x Heavy Storm
1x Lightning Vortex
1x Mystical Space Typhoon
2x Nobleman of Crossout
1x Premature Burial

Main Deck — Traps:
1x Call of the Haunted
2x Dust Tornado
1x Mirror Force
1x Torrential Tribute
1x Widespread Ruin","SJC Washington, D.C. 2007"
Marc Glass-Gadget,"Main Deck — Monsters:
1x Breaker the Magical Warrior
3x Cyber Dragon
3x Cyber Phoenix
3x Drillroid
2x Green Gadget
1x Neo-Spacian Grand Mole
2x Red Gadget
2x Yellow Gadget

Main Deck — Spells:
1x Future Fusion
2x Hammer Shot
1x Heavy Storm
1x Lightning Vortex
1x Mystical Space Typhoon
2x Nobleman of Crossout
1x Overload Fusion
1x Pot of Avarice
3x Shrink
1x Smashing Ground

Main Deck — Traps:
3x Bottomless Trap Hole
1x Mirror Force
3x Sakuretsu Armor
3x Solemn Judgment
1x Torrential Tribute

Extra Deck — Fusions:
1x Chimeratech Overdragon
2x Cyber End Dragon
2x Cyber Twin Dragon","SJC Washington, D.C. 2007"
plevitin-Zombie,"Main Deck — Monsters:
1x Breaker the Magical Warrior
1x Card Trooper
2x Cyber Dragon
2x Giant Rat
1x Il Blud
1x Morphing Jar
3x Pyramid Turtle
2x Ryu Kokki
1x Sangan
1x Snipe Hunter
1x Spirit Reaper
3x Zombie Master

Main Deck — Spells:
3x Book of Life
1x Brain Control
3x Card of Safe Return
2x Creature Swap
1x Heavy Storm
1x Lightning Vortex
1x Mystical Space Typhoon
2x Nobleman of Crossout
1x Premature Burial

Main Deck — Traps:
1x Call of the Haunted
1x Crush Card Virus
2x Dust Tornado
1x Mirror Force
1x Sakuretsu Armor
1x Torrential Tribute","SJC Washington, D.C. 2007"
Alex Johnson-TeleDAD,"Main Deck — Monsters:
1x Breaker the Magical Warrior
1x Caius the Shadow Monarch
2x Dark Armed Dragon
1x Dark Grepher
1x Destiny HERO - Doom Lord
3x Destiny HERO - Malicious
1x Destiny HERO - Plasma
1x Elemental HERO Stratos
3x Krebons
2x Necro Gardna
1x Sangan
1x Snipe Hunter

Main Deck — Spells:
3x Allure of Darkness
1x Brain Control
3x Destiny Draw
2x Emergency Teleport
1x Heavy Storm
1x Monster Reborn
1x Mystical Space Typhoon
2x Reinforcement of the Army
1x Scapegoat

Main Deck — Traps:
1x Crush Card Virus
2x Phoenix Wing Wind Blast
3x Solemn Judgment
1x Torrential Tribute
1x Trap Dustshoot

Extra Deck — Fusions:
1x Gladiator Beast Gyzarus

Extra Deck — Synchros:
2x Black Rose Dragon
2x Colossal Fighter
3x Goyo Guardian
1x Magical Android
2x Red Dragon Archfiend
2x Stardust Dragon
2x Thought Ruler Archfiend",SJC Atlanta 2008
